class,cg06358970,cg15934776,cg18126442,cg01416891,cg05630556
1.0,0.0114531,0.73596,0.218128,0.135467,0.0443554
1.0,0.0112543,0.870431,0.220395,0.167166,0.0373608
1.0,0.00800527,0.933,0.192996,0.212131,0.0304492
1.0,0.00945468,0.82477,0.197145,0.178858,0.0304934
1.0,0.00817553,0.798299,0.159527,0.185549,0.0258667
1.0,0.0095996,0.632356,0.210724,0.169049,0.033105
1.0,0.0112944,0.868298,0.197978,0.24605,0.032297
1.0,0.0096014,0.884811,0.22507,0.185205,0.0395068
1.0,0.0100144,0.92204,0.239448,0.216528,0.037088
1.0,0.0279152,0.722668,0.233314,0.14493,0.0238113
1.0,0.00760284,0.780714,0.191792,0.187786,0.0472729
1.0,0.00777006,0.889788,0.140595,0.160092,0.0430285
1.0,0.0305787,0.808372,0.189857,0.155386,0.0254191
1.0,0.00596531,0.708828,0.149383,0.186643,0.0336365
1.0,0.0104425,0.594439,0.162802,0.151542,0.0442774
1.0,0.0110831,0.904803,0.237002,0.223525,0.059192
1.0,0.00735559,0.891717,0.234562,0.193165,0.0572753
1.0,0.0117992,0.638134,0.257444,0.238465,0.024967
1.0,0.00441228,0.692875,0.136836,0.151385,0.0241587
1.0,0.00999089,0.89121,0.176796,0.174643,0.0388983
1.0,0.00987762,0.762405,0.232419,0.210067,0.0464636
-1.0,0.0119401,0.861595,0.244127,0.193695,0.0337914
-1.0,0.0106329,0.649049,0.179433,0.169584,0.0486659
-1.0,0.0118936,0.857161,0.254095,0.251208,0.0397803
-1.0,0.0127745,0.772341,0.265901,0.20891,0.0465348
-1.0,0.0100415,0.93301,0.32272,0.249357,0.0568987
-1.0,0.0112513,0.796743,0.151701,0.153922,0.0445865
-1.0,0.0108136,0.830245,0.238961,0.235866,0.0451234
-1.0,0.0114675,0.709606,0.283305,0.229808,0.0478984
-1.0,0.00990439,0.884397,0.278085,0.251061,0.081666
-1.0,0.0102923,0.793942,0.233319,0.183221,0.048974
-1.0,0.0107111,0.887453,0.256595,0.205044,0.0861151
-1.0,0.00957475,0.918233,0.260939,0.268259,0.055295
-1.0,0.0108329,0.856232,0.284095,0.230073,0.0606132
-1.0,0.00975322,0.872899,0.223989,0.25298,0.0378233
-1.0,0.0126671,0.914692,0.264258,0.215829,0.0413127
-1.0,0.0108379,0.90804,0.247402,0.18913,0.0622617
-1.0,0.0109656,0.902917,0.163904,0.195773,0.0386556
-1.0,0.0121243,0.827204,0.196746,0.197089,0.0641911
-1.0,0.00661379,0.934496,0.192939,0.15362,0.0352159
-1.0,0.0114639,0.910772,0.265669,0.30229,0.0505333
-1.0,0.0139864,0.81453,0.257883,0.237085,0.0446437
-1.0,0.00956167,0.887433,0.218604,0.22846,0.0495753
-1.0,0.0106538,0.805471,0.253613,0.247925,0.0472247
-1.0,0.01723,0.936968,0.314275,0.253901,0.0668583
-1.0,0.00999326,0.916855,0.283064,0.324632,0.0452671
-1.0,0.0115609,0.903672,0.308253,0.240346,0.0545948
-1.0,0.0112442,0.803708,0.28998,0.22034,0.0642118
-1.0,0.0102683,0.906917,0.301542,0.289612,0.073103
-1.0,0.00907949,0.895895,0.257611,0.266879,0.0583662
-1.0,0.0137443,0.87282,0.283593,0.214369,0.0499043
-1.0,0.0107459,0.884077,0.297387,0.20102,0.0514575
-1.0,0.0111272,0.929479,0.264836,0.233076,0.0458815
-1.0,0.00710056,0.885215,0.26103,0.273532,0.055671
-1.0,0.0104033,0.726255,0.252906,0.245442,0.0257693
-1.0,0.0107192,0.897119,0.277175,0.216208,0.0467391
-1.0,0.00921281,0.844692,0.24082,0.231472,0.0585494
-1.0,0.0104045,0.864635,0.282931,0.199354,0.0408376
-1.0,0.00965444,0.881922,0.252097,0.225486,0.0501109
-1.0,0.0165531,0.897995,0.317886,0.313292,0.0652523
-1.0,0.00932477,0.935451,0.246616,0.242058,0.0480208
-1.0,0.0111879,0.897055,0.296573,0.234826,0.0404077
-1.0,0.00675689,0.931964,0.222429,0.322484,0.0447227
-1.0,0.0122123,0.888514,0.233563,0.278367,0.0464355
-1.0,0.0105956,0.899755,0.268939,0.210644,0.0626822
-1.0,0.0107401,0.89689,0.317458,0.214398,0.145154
-1.0,0.010663,0.891792,0.222199,0.154846,0.0313954
-1.0,0.00928288,0.933269,0.233559,0.26288,0.0440589
-1.0,0.0117321,0.904488,0.237939,0.26427,0.039674
-1.0,0.01464,0.89142,0.322472,0.30751,0.0495057
-1.0,0.00756064,0.893919,0.257393,0.25777,0.0645638
-1.0,0.0125413,0.867358,0.318953,0.283492,0.0479609
-1.0,0.0113469,0.934099,0.325754,0.235859,0.0452292
-1.0,0.011539,0.944986,0.309316,0.240485,0.0415974
-1.0,0.0107933,0.828957,0.251871,0.236258,0.0380468
-1.0,0.0116552,0.952391,0.319593,0.306806,0.0466344
-1.0,0.0092454,0.874048,0.2565,0.25691,0.0497193
-1.0,0.0115401,0.860477,0.202109,0.20001,0.0564271
-1.0,0.0120011,0.845416,0.284064,0.223761,0.0566294
-1.0,0.0129177,0.916329,0.278593,0.217849,0.058486
-1.0,0.00825595,0.902163,0.274091,0.281758,0.037267
-1.0,0.0105768,0.864586,0.19687,0.185112,0.0410313
-1.0,0.082489,0.914277,0.315642,0.228167,0.0519305
-1.0,0.00789103,0.913086,0.184356,0.255403,0.0529052
-1.0,0.0129909,0.909278,0.294691,0.257353,0.0477913
-1.0,0.0115118,0.874939,0.233141,0.242063,0.0459829
-1.0,0.0104932,0.895949,0.267255,0.280142,0.0606643
-1.0,0.0117777,0.937676,0.375413,0.25076,0.0525662
-1.0,0.0137801,0.936157,0.296996,0.275566,0.0456249
-1.0,0.0119887,0.904481,0.327477,0.289348,0.0641669
-1.0,0.00994537,0.90046,0.295,0.264358,0.0614819
-1.0,0.00990059,0.897404,0.254358,0.226038,0.0576951
-1.0,0.0104598,0.869224,0.228041,0.217537,0.0446436
-1.0,0.00954116,0.952188,0.32026,0.277648,0.0499664
-1.0,0.0108011,0.895501,0.334618,0.294419,0.0560092
-1.0,0.0110424,0.879711,0.361759,0.324292,0.0520175
-1.0,0.00942012,0.888121,0.251942,0.270473,0.0492582
-1.0,0.0101862,0.888175,0.261189,0.285037,0.0595441
-1.0,0.0102311,0.94966,0.294217,0.222189,0.0431599
-1.0,0.0108605,0.88033,0.264255,0.248491,0.0403531
-1.0,0.0124344,0.929229,0.318504,0.303327,0.0566646
