Feature,Importance Score,Difference,Cancer,Clear
cg12593394,0.056934856,0.002672809,0.022170281,0.019497472
cg23841361,0.059803192,0.001406561,0.024122366,0.022715805
cg00511596,0.300260782,0.003961621,0.027561457,0.023599837
cg00949670,0.478136986,0.007745506,0.029765813,0.022020306
cg17492891,0.420179754,0.009926309,0.02938756,0.019461252
cg17371436,0.10954871,0.006125063,0.031426908,0.025301845
cg01630567,0.069464497,0.009848903,0.035379422,0.025530519
cg07947533,0.273816913,0.006649552,0.026287521,0.019637969
cg15623149,0.060786426,0.001954317,0.015425721,0.013471404
cg05922925,0.023083847,0.009255934,0.037325065,0.028069131
cg04729070,0.142087325,0.008269416,0.044924304,0.036654888
cg19446838,0.235941485,0.017056485,0.053741238,0.036684753
cg27305525,0.039537176,0.013023464,0.04065844,0.027634976
cg26614578,0.014683465,0.017584709,0.050796778,0.033212069
cg16331823,0.009224086,0.009081877,0.042132853,0.033050976
cg05212836,0.000583451,0.005555366,0.034967611,0.029412245
cg14913676,0.239267707,0.010598703,0.046130867,0.035532165
cg18958531,0.081696466,0.008810731,0.04454971,0.035738979
cg10678486,0.13880226,0.010300306,0.046330014,0.036029708
cg24061542,0.618407905,0.011771245,0.046171835,0.034400589
cg01060952,0.179922849,0.011018583,0.044924694,0.033906111
cg20488820,0.068730466,0.041097573,0.133131112,0.092033539
cg08327690,0.063130029,0.045249477,0.070519422,0.025269945
cg26864230,0.290319175,0.025723597,0.054581669,0.028858072
cg09545123,0.063784808,0.029347911,0.071441434,0.042093523
cg03068376,0.460348606,0.025015334,0.057553366,0.032538033
cg19455335,0.059372488,0.018451906,0.054573048,0.036121141
cg26996201,0.732626617,0.038637032,0.058733415,0.020096383
cg24046411,0.05734412,0.015433704,0.049007606,0.033573902
cg26170066,0.035743419,0.011516644,0.041932997,0.030416353
cg22355463,0.32114318,0.020856222,0.077546788,0.056690566
cg15719025,0.273889214,0.019658159,0.08024895,0.060590791
cg27413732,1,0.018940363,0.071269053,0.05232869
cg05419984,0.29826057,0.017066006,0.07272814,0.055662134
cg22313322,0.019775808,0.012851518,0.055757865,0.042906348
cg10150615,0.544597507,0.026243422,0.071506631,0.045263209
cg15045943,0.173704997,0.019494715,0.062447662,0.042952948
cg08042322,0.355647922,0.233228886,0.563935277,0.797164163
cg19212550,0.377687186,0.070674668,0.74259801,0.813272678
cg15491094,0.175798386,0.048412949,0.781468574,0.829881524
cg00656478,0.423311383,0.047865718,0.875213396,0.827347678
cg00589181,0.309971631,0.056137046,0.873587861,0.817450815
cg18835596,0.20037587,0.0334329,0.850650248,0.817217348
cg04445570,0.265986085,0.043645554,0.862066842,0.818421288
cg20958098,0.25114888,0.042050644,0.844789713,0.802739069
cg25862140,0.036133699,0.045026562,0.859658,0.814631438
cg05241830,0.337001294,0.038789531,0.854496347,0.815706815
cg13461336,0.039053582,0.040981808,0.845640683,0.804658876
cg08642716,0.253751129,0.031074481,0.816463386,0.785388906
cg01328621,0.181701332,0.033322062,0.820957366,0.787635305
cg20364512,0.043154988,0.035312916,0.832673881,0.797360966
cg25986322,0.311787993,0.053230029,0.829176347,0.775946318
cg05714773,0.051215328,0.043276474,0.833882178,0.790605704
cg00957480,0.222254291,0.038518359,0.816726861,0.778208502
cg12656611,0.045789007,0.045930591,0.830316832,0.78438624
cg13978347,0.157360792,0.058891787,0.788093316,0.729201529
cg08182501,0.025446579,0.081130163,0.808412772,0.727282609
cg00113117,0.027067594,0.059597411,0.826211604,0.766614193
cg16803064,0.065507643,0.058746956,0.797250376,0.738503421
cg15004938,0.329494327,0.061447591,0.80698896,0.745541369
cg01517148,0.131813943,0.063325567,0.80983897,0.746513403
cg02706575,0.225603104,0.053607285,0.802179693,0.748572408
cg01353960,0.148077846,0.053611155,0.807551327,0.753940172
cg18866817,0.066138923,0.051285321,0.796613416,0.745328094
cg09250072,0.011793545,0.066161217,0.824538149,0.758376931
cg21900829,0.062154435,0.002317821,0.962014604,0.964332425
cg17560586,0.020800173,0.004609133,0.948968584,0.953577717
cg00147216,0.06544733,0.00186589,0.970342891,0.972208781
cg07563765,0.132507518,0.028083023,0.948634277,0.9767173
cg24054683,0.135917664,0.011704853,0.950537554,0.962242408
cg06475503,0.244902819,0.008408822,0.941025406,0.949434227
cg04181864,0.378524095,0.011025544,0.95306801,0.964093554
cg25983288,0.217229143,0.007314584,0.960108545,0.967423129
cg18159276,0.027575867,0.02743867,0.860041228,0.832602558
cg24046864,0.150990486,0.038718335,0.879719386,0.841001052
cg08737815,0.068184786,0.036587611,0.879939267,0.843351657
cg07543711,0.004983187,0.023846858,0.865946446,0.842099588
cg15324185,0.22468549,0.026192957,0.880739257,0.8545463
cg13619623,0.097364642,0.020691686,0.881378931,0.860687245
cg05485968,0.028474901,0.014119336,0.877468297,0.863348961
cg21948655,0.026713755,0.024666201,0.876536475,0.851870275
cg16989822,0.306358397,0.037470571,0.904080871,0.8666103
cg02151101,0.067961752,0.034954338,0.908298703,0.873344365
cg09716038,0.265383989,0.028932808,0.923773168,0.894840361
cg00595787,0.034612939,0.026716233,0.908019426,0.881303193
cg26055718,0.033811554,0.028014535,0.877970465,0.905985
cg23099959,0.139619425,0.01014833,0.89115497,0.9013033
cg14939641,0.088770524,0.021309569,0.878241822,0.899551391
cg10202788,0,0.012544438,0.881867545,0.894411983
cg04792024,0.141277909,0.027320442,0.850854129,0.878174571
cg06328456,0.070351943,0.025503071,0.851718079,0.87722115
cg14208041,0.373840928,0.059961675,0.594135782,0.534174107
cg01918222,0.127309725,0.073327826,0.582616921,0.509289094
cg21034183,0.105626561,0.062339837,0.537920614,0.475580777
cg05835416,0.358903199,0.076749538,0.575405762,0.6521553
cg11808459,0.19298391,0.086950006,0.576453921,0.663403927
cg11826008,0.204760998,0.084239648,0.726705673,0.642466026
cg11693709,0.086799502,0.053053356,0.733064257,0.680010901
cg04656009,0.65730226,0.091257709,0.704632911,0.613375202
cg03313126,0.010994731,0.044130632,0.662781752,0.61865112
cg13027184,0.00448151,0.032906087,0.617831653,0.584925567
cg14337027,0.282379985,0.201092034,0.31268197,0.513774004
cg22149137,0.260084808,0.207238704,0.217287773,0.424526477
cg07093324,0.531903028,0.133268295,0.280902359,0.147634064
cg00614392,0.224230528,0.040177302,0.227246149,0.267423451
cg13817545,0.296416163,0.045240494,0.250189129,0.204948635
cg27471901,0.035765562,0.046508664,0.214980291,0.168471627
cg27627006,0.744229734,0.125993161,0.375537921,0.24954476
cg15128147,0.005641161,0.108768024,0.38089402,0.272125996
cg13380204,0.218073413,0.198900417,0.504830356,0.30592994
cg07195224,0.005236156,0.121523494,0.516523743,0.395000249